CC(NCCC1=CC=CC(C2=CC=CC(C([O-])=O)=C2)=C1)=O,23a,15a,ABML-1-41,3.64,0.06,1.1,170,90,A41,/home/bjartel/xray/derivates/ABML/ABML-1-41/Refine_7/ABML-1-41_refine_007.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-41/Refine_7/ABML-1-41_refine_007.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-41/Polder_5/ABML-1-41_refine_004_polder_map_coeffs.mtz,A
CC(NCCC(C=C1)=CC=C1C2=CC=CC(C([O-])=O)=C2)=O,23b,15b,ABML-1-42,3.28,0.02,1.4,190,80,A42,/home/bjartel/xray/derivates/ABML/ABML-1-42/Refine_9/ABML-1-42_refine_009.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-42/Refine_9/ABML-1-42_refine_009.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-42/Polder_10/ABML-1-42_refine_7_polder_map_coeffs.mtz,B
CC(=O)OCc1cc(ccc1)-c(ccc2)cc2C(=O)[O-],24,7,ABML-1-59,3.6,0.04,1.6,181,7,A59,/home/bjartel/xray/derivates/ABML/ABML-1-59/Refine_28/ABML-1-59_refine_028.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-59/Refine_28/ABML-1-59_refine_028.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-59/Polder_17/ABML-1-59_refine_016_polder_map_coeffs.mtz,D
[O-]C(C1=CC(C2=CC=CC(C3=NN=NN3)=C2)=CC=C1)=O,26a,30a,ABSA-3-42,4.24,0.05,0.9,70,20,A42,/home/bjartel/xray/derivates/ABSA/ABSA-3-42/Refine_9/ABSA-3-42_refine_009.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-42/Refine_9/ABSA-3-42_refine_009.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-42/Polder_10/ABSA-3-42_refine_009_polder_map_coeffs.mtz,C
[O-]C(C1=CC(C2=CC=C(C3=NN=NN3)C=C2)=CC=C1)=O,26b,30b,ABSA-3-43,4.48,0.03,1.1,70,30,A43,/home/bjartel/xray/derivates/ABSA/ABSA-3-43/Refine_6/ABSA-3-43_refine_006.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-43/Refine_6/ABSA-3-43_refine_006.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-43/Polder_7/ABSA-3-43_refine_006_polder_map_coeffs.mtz,C
O=C(C1=CC=CC(C2=CC3=CC=CC=C3C=C2)=C1)[O-],27,33,ABML-1-05,3.98,0.03,1.2,400,100,AM5,/home/bjartel/xray/derivates/ABML/ABML-1-05/Refine_12/ABML-1-05_refine_012.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-05/Refine_12/ABML-1-05_refine_012.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-05/Polder_8/ABML-1-05_refine_6_polder_map_coeffs.mtz,D
O=C(C1=CC=CC(C2=CC=C(N=CC=C3)C3=C2)=C1)[O-],28,32,ABML-1-07,3.61,0.02,1.8,160,30,AM7,/home/bjartel/xray/derivates/ABML/ABML-1-07/Refine_10/ABML-1-07_refine_010.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-07/Refine_10/ABML-1-07_refine_010.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-07/Polder_11/ABML-1-07_refine_010_polder_map_coeffs.mtz,D
CN1C(C2=CC=CC(C([O-1])=O)=C2)=CC=C1,32,27,ABML-1-06,3.3,0.06,1.0,590,70,AM6,/home/bjartel/xray/derivates/ABML/ABML-1-06/Refine_12/ABML-1-06_refine_012.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-06/Refine_12/ABML-1-06_refine_012.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-06/Polder_10/ABML-1-06_refine_009_polder_map_coeffs.mtz,C
O=C(C1=CC=CC(C2=CC=C(NC=C3)C3=C2)=C1)[O-],34,29,ABML-1-03,3.51,0.03,1.5,400,100,A03,/home/bjartel/xray/derivates/ABML/ABML-1-03/Refine_15/ABML-1-03_refine_015.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-03/Refine_15/ABML-1-03_refine_015.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-30/Polder_17/ABML-1-03_refine_015_polder_map_coeffs.mtz,C
[O-]C(C1=CC(C2=CC=CC=N2)=CC=C1)=O,35,23,ABSA-3-08,4.46,0.02,0.8,159,9,AB8,/home/bjartel/xray/derivates/ABSA/ABSA-3-08/Refine_11/ABSA-3-08_refine_011.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-08/Refine_11/ABSA-3-08_refine_011.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-08/Polder_12/ABSA-3-08_refine_011_polder_map_coeffs.mtz,D
[O-]C(C1=CC(C2=CC=CC(NC(C)=O)=C2)=CC(C3=CC=CC(NC(C)=O)=C3)=C1)=O,36,34,ABSA-3-38,5.53,0.04,1.0,30,10,A38,/home/bjartel/xray/derivates/ABSA/ABSA-3-38/Refine_9/ABSA-3-38_refine_009.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-38/Refine_9/ABSA-3-38_refine_009.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-38/Polder_10/ABSA-3-38_refine_009_polder_map_coeffs.mtz,D
c1ccnc(c12)ccc(c2)-c(cc3C([O-])=O)cc(c3)-c(cc4)cc(c45)nccc5,38,38,ABAI-52,3.94,0.04,1.0,70,50,52A,/home/bjartel/xray/derivates/ABAI/ABAI-52/Refine_9/ABAI-52_refine_009.pdb,/home/bjartel/xray/derivates/ABAI/ABAI-52/Refine_9/ABAI-52_refine_009.mtz,/home/bjartel/xray/derivates/ABAI/ABAI-52/Polder_11/ABAI-52_refine_009_polder_map_coeffs.mtz,A
c1ccc(NC(=O)C)cc1-c(c2)cc(cc2C([O-])=O)-c(c3)ccc(c34)cccn4,40,37,ABAI-55,5.54,0.03,1.0,60,10,55A,/home/bjartel/xray/derivates/ABAI/ABAI-55/Refine_5/ABAI-55_refine_005.pdb,/home/bjartel/xray/derivates/ABAI/ABAI-55/Refine_5/ABAI-55_refine_005.mtz,/home/bjartel/xray/derivates/ABAI/ABAI-55/Polder_7/ABAI-55_refine_005_polder_map_coeffs.mtz,C
